Group,N,Positive_Rate,Mean_Bel,Mean_Pl,Mean_Interval_Width,Median_Interval_Width,Raw_ROC_AUC,Cal_ROC_AUC,Cal_PR_AUC,Cal_Brier,Cal_F2_Best,Cal_Tau_Best
Low uncertainty,1168,0.025684931506849314,0.15694163489044044,0.21369422260954563,0.05675258771910519,0.07173804356099867,0.605858230814294,0.605858230814294,0.03432487030529059,0.024907519181702736,0.0,0.05
Medium uncertainty,323,0.09287925696594428,0.3630898932056719,0.4936257798853325,0.13053588667966054,0.09091470708374783,0.6304891922639363,0.6304891922639363,0.12482507042619204,0.08243818123576617,0.3900709219858156,0.05
High uncertainty,550,0.20909090909090908,0.2982327546033976,0.926901222138927,0.6286684675355294,0.7949452062957145,0.6990504747626187,0.6990504747626187,0.3103932557595268,0.15481890029975076,0.6537982565379825,0.12
