Group,N,Positive_Rate,ROC-AUC,Brier,F2
Female,1047,0.0936007640878701,0.7928377884346574,0.07578456800785478,0.5405405405405406
Male,994,0.07746478873239436,0.8172895806483591,0.061894836422555555,0.5102040816326531
Age < 40,704,0.09375,0.7934121782084165,0.07454431397789775,0.5276381909547738
Age 40-60,617,0.0940032414910859,0.8601875269878478,0.06954056181645758,0.6060606060606061
Age > 60,720,0.07083333333333333,0.7753597702160087,0.06317248114868032,0.45012165450121655
Non-Hispanic White,702,0.09971509971509972,0.8124208860759494,0.07726501323817332,0.5508474576271186
Non-Hispanic Black,459,0.10021786492374728,0.8178755658490369,0.07770239350444409,0.5882352941176471
Hispanic,531,0.062146892655367235,0.7759827187538031,0.055846775343906384,0.4372623574144487
