Group,N,Positive_Rate,Mean_Bel,Mean_Pl,Mean_Interval_Width,Median_Interval_Width,Raw_ROC_AUC,Cal_ROC_AUC,Cal_PR_AUC,Cal_Brier,Cal_F2_Best,Cal_Tau_Best
Low uncertainty,362,0.06629834254143646,0.31546214328340233,0.5201159999241655,0.2046538566407632,0.1736154919965588,0.6358481262327416,0.6358481262327416,0.09546064650624347,0.06204893964375936,0.3057553956834532,0.05
Medium uncertainty,377,0.15649867374005305,0.2619773087166142,0.8861694178726965,0.6241921091560825,0.6878794920740914,0.6257861635220126,0.6257861635220126,0.21927497789566755,0.12804934786693514,0.4954954954954955,0.09
High uncertainty,254,0.08267716535433071,0.1676202495143434,0.9461649182000738,0.7785446686857302,0.8524866859811229,0.5204373594931535,0.5204373594931535,0.08621483290198481,0.07770768203629322,0.3106508875739645,0.05
