Threshold,Positive_Rate,ROC-AUC,PR-AUC,Brier,F2
5,0.25575698187163154,0.7525147619299852,0.513251031829385,0.16906039192489453,0.6809396372286649
8,0.13424791768740812,0.7507260026685503,0.2806288720090173,0.13027855302654265,0.574585635359116
10,0.08574228319451249,0.8026198131985913,0.2879268655753811,0.08419618649915714,0.5252100840336135
12,0.0583047525722685,0.8185407357531982,0.24314301335849414,0.0791599532728504,0.4739084132055378
15,0.034296913277805,0.8262013481191564,0.14869323005872345,0.08320513240649166,0.38738738738738737
