Threshold,Positive_Rate,ROC-AUC,PR-AUC,Brier,F2,Architecture,Fraction
10,0.08574228319451249,0.7614714438830196,0.2670197101629349,0.08980977463068945,0.48770491803278687,Causal-BRB (Ours),0.2
10,0.08574228319451249,0.7225891900168427,0.1944403448913285,0.12659393239967173,0.4486301369863014,Random-Graph (Baseline),0.2
10,0.08574228319451249,0.7330041341295359,0.2442188576093923,0.19264771818941587,0.4258241758241758,Causal-BRB (Ours),0.2
10,0.08574228319451249,0.7155994487827285,0.21268347207112354,0.14805327576898566,0.3888888888888889,Random-Graph (Baseline),0.2
10,0.08574228319451249,0.8073970295513705,0.3123551068898558,0.09369412555100276,0.5194805194805194,Causal-BRB (Ours),0.2
10,0.08574228319451249,0.714930332261522,0.20577431856529255,0.1269036788154363,0.4270986745213549,Random-Graph (Baseline),0.2
10,0.08574228319451249,0.7907380186801409,0.2602414342410212,0.09636332563655864,0.5260831122900088,Causal-BRB (Ours),0.4
10,0.08574228319451249,0.7079865258000306,0.19650570838796486,0.10326464242669235,0.4259126700071582,Random-Graph (Baseline),0.4
10,0.08574228319451249,0.7881840453223091,0.28642686069234263,0.09349616461538857,0.5143112701252236,Causal-BRB (Ours),0.4
10,0.08574228319451249,0.7126810595620885,0.20612559699336014,0.10262952878071815,0.4131227217496962,Random-Graph (Baseline),0.4
10,0.08574228319451249,0.8055504516919307,0.3313961132708552,0.10653966996692907,0.5182341650671785,Causal-BRB (Ours),0.4
10,0.08574228319451249,0.7440085744908896,0.21811983175345728,0.1162444778221147,0.4567307692307692,Random-Graph (Baseline),0.4
10,0.08574228319451249,0.791751645996019,0.2931753218908913,0.11034934600332505,0.5024154589371981,Causal-BRB (Ours),0.6
10,0.08574228319451249,0.7548629612616752,0.21172404444219997,0.1046835843471097,0.4653603918824353,Random-Graph (Baseline),0.6
10,0.08574228319451249,0.7998545398866943,0.30072218385855193,0.10951137670609833,0.5189530685920578,Causal-BRB (Ours),0.6
10,0.08574228319451249,0.7563236870310825,0.24907582502918035,0.09463664191294394,0.47911547911547914,Random-Graph (Baseline),0.6
10,0.08574228319451249,0.7958765885775533,0.30593506736405884,0.10285841875606992,0.5223214285714286,Causal-BRB (Ours),0.6
10,0.08574228319451249,0.7644832338079927,0.24756431994212347,0.10983318712705308,0.48291233283803864,Random-Graph (Baseline),0.6
10,0.08574228319451249,0.7912723932016537,0.2900068881840488,0.08885163607717478,0.4953670705630791,Causal-BRB (Ours),0.8
10,0.08574228319451249,0.7492466697289848,0.21308889457529492,0.11395818583444677,0.45369211514392993,Random-Graph (Baseline),0.8
10,0.08574228319451249,0.7963435920992191,0.285353805593877,0.0870506309167791,0.5200729927007299,Causal-BRB (Ours),0.8
10,0.08574228319451249,0.7482437605267186,0.2199685163891743,0.09851669568396877,0.4530313124583611,Random-Graph (Baseline),0.8
10,0.08574228319451249,0.781936916245598,0.2886895034945463,0.09091113121600138,0.5133079847908745,Causal-BRB (Ours),0.8
10,0.08574228319451249,0.7562195682131373,0.2740746818510628,0.09608064411658365,0.468975468975469,Random-Graph (Baseline),0.8
10,0.08574228319451249,0.8087031082529474,0.3114375865506236,0.081616579754378,0.5373831775700935,Causal-BRB (Ours),1.0
10,0.08574228319451249,0.7459317103047006,0.23937707836169797,0.1063247410742018,0.4428341384863124,Random-Graph (Baseline),1.0
10,0.08574228319451249,0.809846884091257,0.3067013773547845,0.09386078913835354,0.5331541218637993,Causal-BRB (Ours),1.0
10,0.08574228319451249,0.7439687643546165,0.2229953398209451,0.11638338178213083,0.4634146341463415,Random-Graph (Baseline),1.0
10,0.08574228319451249,0.7983141938447406,0.2929043327499402,0.0906883136771376,0.5172413793103449,Causal-BRB (Ours),1.0
10,0.08574228319451249,0.7276757005052825,0.20868564877847784,0.11449245171902575,0.4332552693208431,Random-Graph (Baseline),1.0
